Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Score,Response Onset,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: Adventurer1,Spreadsheet: Adventurer2,Spreadsheet: Scenario,Spreadsheet: EncounterIntro,Spreadsheet: PlayerAction,Spreadsheet: RewardFeedback,Spreadsheet: NeutralFeedback,Spreadsheet: PunishFeedback,Spreadsheet: scenDelay,Manipulation: Spreadsheet,Store: pName,Store: participant,Store: respReward,Store: respNeutral,Store: respPunish,Store: decPunish,Store: outcome
1,1680476721088,02/04/2023 23:05:21,1680458721088,-5,02/04/2023 13:05:21,128681,3,task-ysnv,,28614310,BLIND,8515536,,complete,,8372cb3d-81b1-4d53-ad48-db179c41e7f7,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,ImplicitDecisionAdventureTask_3opts,12,WM_InGrp,,,,,,,BEGIN,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1680476739366,02/04/2023 23:05:39,1680458739366,-5,02/04/2023 13:05:39,128681,3,task-ysnv,,28614310,BLIND,8515536,,complete,,8372cb3d-81b1-4d53-ad48-db179c41e7f7,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,ImplicitDecisionAdventureTask_3opts,12,WM_InGrp,1,Instructions,Instructions,cdub9g,1,timedOut,,18004.34300001192,18000.667999999998,18004.34300001192,18004.34300001192,18000.667999999998,18004.34300001192,1,0,18004.34300001192,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,,,,,,
3,1680476747940,02/04/2023 23:05:47,1680458747940,-5,02/04/2023 13:05:47,128681,3,task-ysnv,,28614310,BLIND,8515536,,complete,,8372cb3d-81b1-4d53-ad48-db179c41e7f7,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,ImplicitDecisionAdventureTask_3opts,12,WM_InGrp,1,Instructions,Name,nn5ntg,2,response,george,4604.053,8559.948,8576.275000035763,4604.053,8559.948,8576.275000035763,1,0,4604.053,3972.222000035763,0,pName,Single Text Entry,ParticipantName,2,object-22,Instructions,,,,,,,,,,,,george,,,,,
4,1680476749917,02/04/2023 23:05:49,1680458749917,-5,02/04/2023 13:05:49,128681,3,task-ysnv,,28614310,BLIND,8515536,,complete,,8372cb3d-81b1-4d53-ad48-db179c41e7f7,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,ImplicitDecisionAdventureTask_3opts,12,WM_InGrp,1,Instructions,Delay,7riscs,3,timedOut,,1995.4269999999997,1994.543999999998,1995.4269999999997,1995.4269999999997,1994.543999999998,1995.4269999999997,1,0,1995.4269999999997,0,0,,Time Limit,screen,0,screen,Instructions,,,,,,,,,,,,george,,,,,
5,1680476764909,02/04/2023 23:06:04,1680458764909,-5,02/04/2023 13:06:04,128681,3,task-ysnv,,28614310,BLIND,8515536,,complete,,8372cb3d-81b1-4d53-ad48-db179c41e7f7,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,ImplicitDecisionAdventureTask_3opts,12,WM_InGrp,1,LoadingScreen,LoadScreen,95pybm,1,timedOut,,14992.683000011923,14992.247000000003,14992.683000011923,14992.683000011923,14992.247000000003,14992.683000011923,1,0,14992.683000011923,0,0,,Time Limit,screen,0,screen,LoadingScreen,Jack,Sam,,,,,,,,,,george,,,,,
6,1680476767678,02/04/2023 23:06:07,1680458767678,-5,02/04/2023 13:06:07,128681,3,task-ysnv,,28614310,BLIND,8515536,,complete,,8372cb3d-81b1-4d53-ad48-db179c41e7f7,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,ImplicitDecisionAdventureTask_3opts,12,WM_InGrp,1,LoadingScreen,LoadingComplete,zy7h74,2,continue,,2768.9360000119195,2759.1719999999987,2768.9360000119195,2768.9360000119195,2759.1719999999987,2768.9360000119195,1,0,2768.9360000119195,0,0,,Click To Continue,Continue Button,2,object-59,LoadingScreen,Jack,Sam,,,,,,,,,,george,,,,,
7,1680476779670,02/04/2023 23:06:19,1680458779670,-5,02/04/2023 13:06:19,128681,3,task-ysnv,,28614310,BLIND,8515536,,complete,,8372cb3d-81b1-4d53-ad48-db179c41e7f7,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,ImplicitDecisionAdventureTask_3opts,12,WM_InGrp,1,ScenarioIntro,ScenarioIntro,ghavr7,1,timedOut,,12001.76400001192,12000.894999999997,12001.76400001192,12001.76400001192,12000.894999999997,12001.76400001192,1,0,12001.76400001192,0,0,,Time Limit,screen,0,screen,ScenarioIntro,,,"<em>Two famous archaeologists have discovered a series of underground passageways leading to an ancient civilization. The duo packed their bags full of necessary supplies, turned on their headlights, and crawled into the hole that led to an underground structure. ",,,,,,,,,george,,,,,
8,1680476785669,02/04/2023 23:06:25,1680458785669,-5,02/04/2023 13:06:25,128681,3,task-ysnv,,28614310,BLIND,8515536,,complete,,8372cb3d-81b1-4d53-ad48-db179c41e7f7,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,ImplicitDecisionAdventureTask_3opts,12,WM_InGrp,1,Trial/Encounter,EncounterIntro,wtupv3,1,timedOut,,6000.569000000003,5999.707000000009,6000.569000000003,6000.569000000003,5999.707000000009,6000.569000000003,1,0,6000.569000000003,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,<em>The duo tie a rope and climb down.,"<em>Before proceeding, <b>Sam</b> rubs their hand along the ground to check for traps.",<em><b>Sam</b> triggers a pressure plate. A hidden passage leading forward opens up in front of him.,<em><b>Sam</b> finds no traps so he decides it is safe to continue forward.,<em><b>Sam</b> touches the ground triggering a pressure plate. This releases a boulder which falls grazing his shoulder dealing damage.,6687,,,george,,,,,
9,1680476792353,02/04/2023 23:06:32,1680458792353,-5,02/04/2023 13:06:32,128681,3,task-ysnv,,28614310,BLIND,8515536,,complete,,8372cb3d-81b1-4d53-ad48-db179c41e7f7,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,ImplicitDecisionAdventureTask_3opts,12,WM_InGrp,1,Trial/Encounter,Delay,4wo1q4,2,timedOut,,6682.861999999994,6681.7439999999915,6682.861999999994,6682.861999999994,6681.7439999999915,6682.861999999994,1,0,6682.861999999994,0,0,,Time Limit,screen,0,screen,Trial/Encounter,,,,<em>The duo tie a rope and climb down.,"<em>Before proceeding, <b>Sam</b> rubs their hand along the ground to check for traps.",<em><b>Sam</b> triggers a pressure plate. A hidden passage leading forward opens up in front of him.,<em><b>Sam</b> finds no traps so he decides it is safe to continue forward.,<em><b>Sam</b> touches the ground triggering a pressure plate. This releases a boulder which falls grazing his shoulder dealing damage.,6687,,,george,,,,,
10,1680476798997,02/04/2023 23:06:38,1680458798997,-5,02/04/2023 13:06:38,128681,3,task-ysnv,,28614310,BLIND,8515536,,complete,,8372cb3d-81b1-4d53-ad48-db179c41e7f7,computer,Desktop or Laptop,Windows 10,Chrome 111.0.0.0,1536x864,1536x722,,ImplicitDecisionAdventureTask_3opts,12,WM_InGrp,1,Trial/Encounter,PlayerAction,ga3y5r,3,response,Neutral,6646.118000000002,6631.861000000004,6646.118000000002,6646.118000000002,6631.861000000004,6646.118000000002,1,0,6646.118000000002,0,0,decision,Click Response,NeutralButton,3,object-90,Trial/Encounter,,,,<em>The duo tie a rope and climb down.,"<em>Before proceeding, <b>Sam</b> rubs their hand along the ground to check for traps.",<em><b>Sam</b> triggers a pressure plate. A hidden passage leading forward opens up in front of him.,<em><b>Sam</b> finds no traps so he decides it is safe to continue forward.,<em><b>Sam</b> touches the ground triggering a pressure plate. This releases a boulder which falls grazing his shoulder dealing damage.,6687,,,george,,,,,Neutral
