,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome
Spreadsheet: PlayerAction,<em><b>Jack</b> notices the skeletons slowly patrolling. ,<em><b>Jack</b> opens the chest.,<em><b>Jack</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,<em><b>Jack</b> steps on the false floor revealing its secrets.,<em><b>Jack</b> tries to shoo them away.,<em><b>Jack</b> turns on their flashlight to illuminate the way forward. ,<em><b>Sam</b> decides to jump over it.,<em><b>Sam</b> grabs the talisman.,<em><b>Sam</b> hides behind a nearby rock formation.,<em><b>Sam</b> opens the chest.,<em><b>Sam</b> tethers themselves to a rope and walks across.,"<em>Before proceeding, <b>Sam</b> rubs their hand along the ground to check for traps."
Participant Private ID,,,,,,,,,,,,
8515536.0,Neutral,Reward,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Reward,Neutral,Neutral
8515537.0,Neutral,Reward,Neutral,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Neutral
8515538.0,Reward,Punish,Neutral,Neutral,Punish,Reward,Reward,Reward,Punish,Punish,Reward,Neutral
8515539.0,Neutral,Reward,Reward,Punish,Punish,Neutral,Reward,Punish,Reward,Reward,Neutral,Reward
8515540.0,Neutral,Reward,Reward,Neutral,Neutral,Reward,Neutral,Reward,Reward,Reward,Reward,Neutral
8515542.0,Punish,Reward,Punish,Punish,Punish,Reward,Neutral,Neutral,Neutral,Reward,Neutral,Reward
8515543.0,Neutral,Neutral,Reward,Neutral,Neutral,Neutral,Neutral,Neutral,Punish,Neutral,Neutral,Neutral
8515545.0,Neutral,Reward,Reward,Reward,Neutral,Punish,Punish,Punish,Neutral,Reward,Reward,Reward
8515546.0,Reward,Neutral,Reward,Reward,Neutral,Reward,Neutral,Reward,Neutral,Reward,Reward,Reward
8515552.0,Neutral,Neutral,Reward,Neutral,Reward,Neutral,Neutral,Neutral,Punish,Neutral,Neutral,Reward
8515555.0,Punish,Neutral,Neutral,Punish,Punish,Punish,Neutral,Neutral,Neutral,Punish,Reward,Reward
8515562.0,Neutral,Reward,Neutral,Neutral,Neutral,Neutral,Punish,Punish,Punish,Reward,Reward,Reward
8515563.0,Neutral,Reward,Reward,Punish,Punish,Reward,Punish,Neutral,Neutral,Punish,Reward,Reward
8515576.0,Reward,Reward,Neutral,Punish,Punish,Neutral,Punish,Punish,Neutral,Reward,Reward,Reward
8515622.0,Neutral,Reward,Reward,Reward,Neutral,Reward,Neutral,Punish,Punish,Neutral,Reward,Reward
8515625.0,Neutral,Reward,Neutral,Reward,Reward,Reward,Reward,Reward,Neutral,Reward,Reward,Neutral
8515626.0,Reward,Reward,Reward,Punish,Punish,Reward,Punish,Punish,Reward,Reward,Neutral,Reward
8515630.0,Neutral,Reward,Reward,Punish,Punish,Neutral,Punish,Reward,Neutral,Reward,Reward,Reward
8515634.0,Neutral,Reward,Reward,Punish,Neutral,Reward,Reward,Reward,Punish,Reward,Neutral,Neutral
8515635.0,Punish,Reward,Punish,Reward,Reward,Neutral,Reward,Reward,Reward,Reward,Reward,Reward
8515636.0,Neutral,Reward,Neutral,Reward,Neutral,Neutral,Neutral,Punish,Punish,Reward,Neutral,Neutral
8515640.0,Reward,Reward,Neutral,Punish,Punish,Reward,Punish,Neutral,Reward,Reward,Reward,Neutral
8515641.0,Reward,Punish,Punish,Punish,Neutral,Neutral,Neutral,Neutral,Reward,Reward,Reward,Neutral
8515695.0,Neutral,Reward,Reward,Reward,Reward,Reward,Neutral,Neutral,Neutral,Reward,Neutral,Neutral
8515876.0,Reward,Reward,Reward,Reward,Punish,Neutral,Neutral,Neutral,Neutral,Reward,Reward,Reward
