,Response,Response,Response
Question Key,EngFluent,age,gender
Participant Private ID,,,
8514861.0,Yes,27,Male
8514862.0,Yes,52,Male
8514865.0,Yes,33,Male
8514866.0,Yes,69,Male
8514867.0,Yes,39,Male
8514868.0,Yes,34,Male
8514869.0,Yes,23,Male
8514870.0,Yes,33,Male
8514871.0,Yes,52,Male
8514872.0,Yes,39,Male
8514873.0,Yes,59,Male
8514874.0,Yes,46,Male
8514875.0,Yes,24,Male
8514876.0,Yes,38,Male
8514877.0,Yes,29,Male
8514878.0,Yes,68,Male
8514879.0,Yes,33,Male
8514881.0,Yes,53,Male
8514882.0,Yes,36,Male
8514883.0,Yes,33,Male
8514884.0,Yes,38,Male
8514887.0,Yes,28,Male
8514888.0,Yes,52,Male
8514897.0,Yes,39,Male
8514951.0,Yes,41,Male
