,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome,Store: outcome
Spreadsheet: PlayerAction,<em><b>Becky</b> notices the skeletons slowly patrolling. ,<em><b>Becky</b> opens the chest.,<em><b>Becky</b> runs at a skeleton and tries to swing their weapon at one of the skeletons.,<em><b>Becky</b> steps on the false floor revealing its secrets.,<em><b>Becky</b> tries to shoo them away.,<em><b>Becky</b> turns on their flashlight to illuminate the way forward. ,<em><b>Emma</b> decides to jump over it.,<em><b>Emma</b> grabs the talisman.,<em><b>Emma</b> hides behind a nearby rock formation.,<em><b>Emma</b> opens the chest.,<em><b>Emma</b> tethers themselves to a rope and walks across.,"<em>Before proceeding, <b>Emma</b> rubs their hand along the ground to check for traps."
Participant Private ID,,,,,,,,,,,,
8514894.0,Neutral,Reward,Reward,Reward,Punish,Reward,Neutral,Punish,Reward,Reward,Reward,Neutral
8514898.0,Neutral,Neutral,Neutral,Reward,Neutral,Reward,Neutral,Neutral,Neutral,Neutral,Neutral,Reward
8514899.0,Neutral,Neutral,Punish,Reward,Punish,Reward,Neutral,Reward,Reward,Punish,Reward,Reward
8514902.0,Reward,Punish,Reward,Reward,Neutral,Reward,Neutral,Reward,Neutral,Neutral,Reward,Neutral
8514904.0,Neutral,Reward,Reward,Reward,Reward,Reward,Neutral,Neutral,Punish,Reward,Reward,Reward
8514906.0,Neutral,Reward,Reward,Neutral,Reward,Reward,Reward,Reward,Punish,Reward,Reward,Reward
8514907.0,Neutral,Reward,Reward,Reward,Punish,Neutral,Neutral,Punish,Punish,Reward,Neutral,Reward
8514908.0,Neutral,Reward,Reward,Reward,Neutral,Reward,Neutral,Reward,Neutral,Neutral,Reward,Punish
8514909.0,Punish,Reward,Punish,Punish,Neutral,Reward,Reward,Reward,Neutral,Reward,Reward,Neutral
8514910.0,Reward,Neutral,Neutral,Reward,Neutral,Punish,Reward,Punish,Punish,Reward,Reward,Reward
8514911.0,Neutral,Reward,Reward,Reward,Punish,Reward,Neutral,Reward,Reward,Punish,Neutral,Neutral
8514912.0,Reward,Reward,Reward,Reward,Reward,Punish,Reward,Punish,Neutral,Reward,Reward,Reward
8514913.0,Neutral,Neutral,Reward,Punish,Punish,Neutral,Reward,Punish,Neutral,Reward,Neutral,Reward
8514914.0,Punish,Reward,Reward,Reward,Punish,Reward,Reward,Neutral,Punish,Reward,Reward,Reward
8514915.0,Neutral,Neutral,Reward,Reward,Neutral,Neutral,Neutral,Reward,Neutral,Neutral,Reward,Reward
8514916.0,Neutral,Reward,Reward,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Reward,Neutral,Neutral
8514917.0,Punish,Neutral,Reward,Reward,Punish,Reward,Reward,Reward,Reward,Punish,Neutral,Reward
8514919.0,Neutral,Reward,Reward,Reward,Punish,Neutral,Reward,Punish,Punish,Neutral,Reward,Reward
8514920.0,Neutral,Reward,Neutral,Reward,Neutral,Reward,Neutral,Reward,Neutral,Reward,Reward,Reward
8514921.0,Neutral,Reward,Reward,Reward,Neutral,Neutral,Reward,Reward,Neutral,Reward,Reward,Reward
8514922.0,Neutral,Neutral,Reward,Reward,Reward,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Reward
8514924.0,Neutral,Neutral,Reward,Reward,Reward,Reward,Neutral,Neutral,Punish,Neutral,Neutral,Reward
8514933.0,Neutral,Punish,Reward,Neutral,Neutral,Reward,Reward,Punish,Neutral,Neutral,Reward,Reward
8514937.0,Neutral,Reward,Reward,Reward,Neutral,Reward,Neutral,Neutral,Neutral,Reward,Reward,Neutral
8514947.0,Punish,Reward,Reward,Reward,Reward,Reward,Neutral,Reward,Reward,Reward,Reward,Reward
