,Response,Response,Response
Question Key,EngFluent,age,gender
Participant Private ID,,,
8511342.0,Yes,38,Female
8511343.0,Yes,26,Female
8511345.0,Yes,56,Female
8511348.0,Yes,27,Female
8511352.0,Yes,36,Female
8511353.0,Yes,51,Female
8511354.0,Yes,35,Female
8511357.0,Yes,59,Female
8511358.0,Yes,27,Female
8511359.0,Yes,49,Female
8511360.0,Yes,45,Female
8511361.0,Yes,47,Female
8511362.0,Yes,27,Female
8511364.0,Yes,56,Female
8511365.0,Yes,49,Female
8511366.0,Yes,65,Female
8511367.0,Yes,34,Female
8511368.0,Yes,54,Female
8511371.0,Yes,56,Female
8511373.0,Yes,54,Female
8511375.0,Yes,27,Female
8511377.0,Yes,31,Female
8511380.0,Yes,59,Female
