,Response,Response,Response
Question Key,EngFluent,age,gender
Participant Private ID,,,
8514894.0,Yes,35,Female
8514898.0,Yes,63,Female
8514899.0,Yes,35,Female
8514902.0,Yes,59,Female
8514904.0,Yes,42,Female
8514906.0,No,53,Female
8514907.0,Yes,54,Female
8514908.0,Yes,46,Female
8514909.0,Yes,54,Female
8514910.0,Yes,39,Female
8514911.0,Yes,31,Female
8514912.0,Yes,48,Female
8514913.0,Yes,24,Female
8514914.0,Yes,43,Female
8514915.0,Yes,35,Female
8514916.0,Yes,61,Female
8514917.0,Yes,35,Female
8514919.0,Yes,40,Female
8514920.0,Yes,33,Female
8514921.0,Yes,51,Female
8514922.0,Yes,41,Female
8514924.0,Yes,25,Female
8514933.0,Yes,61,Female
8514937.0,Yes,38,Female
8514947.0,Yes,38,Female
