,Response,Response,Response
Question Key,EngFluent,age,gender
Participant Private ID,,,
8511681.0,Yes,43,Male
8511710.0,Yes,28,Male
8511723.0,Yes,36,Male
8511728.0,Yes,51,Male
8511729.0,Yes,38,Male
8511730.0,Yes,30,Male
8511731.0,Yes,33,Male
8511732.0,Yes,30,Male
8511733.0,Yes,33,Male
8511734.0,Yes,42,Male
8511735.0,Yes,40,Male
8511736.0,Yes,51,Male
8511737.0,Yes,39,Male
8511738.0,Yes,36,Male
8511741.0,Yes,48,Male
8511742.0,Yes,40,Male
8511743.0,Yes,25,Male
8511745.0,Yes,23,Male
8511747.0,Yes,38,Female
8511748.0,Yes,40,Male
8511749.0,Yes,49,Male
8511750.0,Yes,39,Male
8511751.0,Yes,32,Male
8511797.0,Yes,27,Male
8511979.0,Yes,24,Male
